mse,mae,rmse,kl,sum_violation,per_class_mae,per_class_r2,condition,seed
0.0012993346899747849,0.018688635900616646,0.03604628538386147,0.059082239866256714,4.406770059972587e-08,"{'Tree': 0.02505098283290863, 'Shrub': 0.010922946035861969, 'Grass': 0.037592556327581406, 'Crop': 0.022074377164244652, 'Built-up': 0.0101231150329113, 'Barren': 0.016429120674729347, 'Water': 0.008627373725175858}","{'Tree': 0.986564040184021, 'Shrub': 0.3817758560180664, 'Grass': 0.9760440587997437, 'Crop': 0.9843347668647766, 'Built-up': 0.803556501865387, 'Barren': 0.9256229400634766, 'Water': 0.9365587830543518}",Rleak,42
0.0015137955779209733,0.02009700797498226,0.03890752598047032,0.06435482949018478,4.347165472040615e-08,"{'Tree': 0.026134420186281204, 'Shrub': 0.012014374136924744, 'Grass': 0.03993232548236847, 'Crop': 0.025093097239732742, 'Built-up': 0.011116820387542248, 'Barren': 0.017565540969371796, 'Water': 0.008822442963719368}","{'Tree': 0.9851099252700806, 'Shrub': 0.27268868684768677, 'Grass': 0.9719709157943726, 'Crop': 0.9802215099334717, 'Built-up': 0.7920219302177429, 'Barren': 0.9090074300765991, 'Water': 0.932540774345398}",Rleak,1337
0.0014724854845553637,0.01986100897192955,0.03837297857288855,0.060913391411304474,4.46240093765482e-08,"{'Tree': 0.02621905505657196, 'Shrub': 0.011613738723099232, 'Grass': 0.0399106964468956, 'Crop': 0.023983079940080643, 'Built-up': 0.010889962315559387, 'Barren': 0.01718958280980587, 'Water': 0.009220926091074944}","{'Tree': 0.9849583506584167, 'Shrub': 0.3213247060775757, 'Grass': 0.9721539616584778, 'Crop': 0.9814171195030212, 'Built-up': 0.8054381012916565, 'Barren': 0.9122322797775269, 'Water': 0.9341806769371033}",Rleak,2024
0.004892714787274599,0.03295884653925896,0.06994794340990018,0.1123686134815216,4.23590336140478e-08,"{'Tree': 0.03913899138569832, 'Shrub': 0.011605457402765751, 'Grass': 0.07535181194543839, 'Crop': 0.05106524005532265, 'Built-up': 0.01671195589005947, 'Barren': 0.027843229472637177, 'Water': 0.008995178155601025}","{'Tree': 0.9583351612091064, 'Shrub': 0.05872887372970581, 'Grass': 0.896609902381897, 'Crop': 0.9073666930198669, 'Built-up': 0.4758978486061096, 'Barren': 0.7199322581291199, 'Water': 0.9075970649719238}",R0a-lora,42
0.0046857199631631374,0.032050590962171555,0.06845231890274527,0.10745339840650558,4.303455369836229e-08,"{'Tree': 0.038176242262125015, 'Shrub': 0.011515606194734573, 'Grass': 0.07621859014034271, 'Crop': 0.05067457631230354, 'Built-up': 0.015048779547214508, 'Barren': 0.02546461671590805, 'Water': 0.007255690172314644}","{'Tree': 0.9592240452766418, 'Shrub': 0.06962162256240845, 'Grass': 0.8909797668457031, 'Crop': 0.9119611382484436, 'Built-up': 0.6498106122016907, 'Barren': 0.7643179297447205, 'Water': 0.9308068752288818}",R0a-lora,1337
0.0047685932368040085,0.033124301582574844,0.06905500153358922,0.1122189313173294,4.46240093765482e-08,"{'Tree': 0.03877759724855423, 'Shrub': 0.012945406138896942, 'Grass': 0.07716646045446396, 'Crop': 0.0503346249461174, 'Built-up': 0.018352985382080078, 'Barren': 0.025959517806768417, 'Water': 0.008333577774465084}","{'Tree': 0.9601776599884033, 'Shrub': 0.06101882457733154, 'Grass': 0.8929799795150757, 'Crop': 0.9123825430870056, 'Built-up': 0.4238013029098511, 'Barren': 0.756618082523346, 'Water': 0.9332368969917297}",R0a-lora,2024
0.004462084732949734,0.03211967647075653,0.06679883781137015,0.11070668697357178,4.1762987734728085e-08,"{'Tree': 0.038693249225616455, 'Shrub': 0.009927242994308472, 'Grass': 0.0747595801949501, 'Crop': 0.05210074782371521, 'Built-up': 0.0144624263048172, 'Barren': 0.025209372863173485, 'Water': 0.009685032069683075}","{'Tree': 0.9619431495666504, 'Shrub': 0.006534457206726074, 'Grass': 0.8986988067626953, 'Crop': 0.9124941229820251, 'Built-up': 0.633317232131958, 'Barren': 0.7838577032089233, 'Water': 0.9433625936508179}",R0b-lora,42
0.004281795583665371,0.0321042537689209,0.06543543064476133,0.10502764582633972,4.641215056722103e-08,"{'Tree': 0.03885442763566971, 'Shrub': 0.011017127893865108, 'Grass': 0.07495411485433578, 'Crop': 0.05148153007030487, 'Built-up': 0.013466599397361279, 'Barren': 0.025933654978871346, 'Water': 0.009022360667586327}","{'Tree': 0.9613595008850098, 'Shrub': 0.05069136619567871, 'Grass': 0.9019481539726257, 'Crop': 0.9180244207382202, 'Built-up': 0.67489093542099, 'Barren': 0.7936593890190125, 'Water': 0.9485220313072205}",R0b-lora,1337
0.004305831156671047,0.03192804008722305,0.06561883233242609,0.1078663095831871,4.553794852313331e-08,"{'Tree': 0.040307097136974335, 'Shrub': 0.009481226094067097, 'Grass': 0.07590299844741821, 'Crop': 0.05088115483522415, 'Built-up': 0.013269361108541489, 'Barren': 0.02502022311091423, 'Water': 0.008634183555841446}","{'Tree': 0.9590040445327759, 'Shrub': 0.005827724933624268, 'Grass': 0.9011224508285522, 'Crop': 0.9177759289741516, 'Built-up': 0.6846489906311035, 'Barren': 0.8083145618438721, 'Water': 0.9509972929954529}",R0b-lora,2024
0.004498313646763563,0.03177017718553543,0.06706946881229613,0.10642329603433609,4.323323565813553e-08,"{'Tree': 0.03845958784222603, 'Shrub': 0.0115818427875638, 'Grass': 0.07426059246063232, 'Crop': 0.05005841702222824, 'Built-up': 0.013681321404874325, 'Barren': 0.026098959147930145, 'Water': 0.008250473998486996}","{'Tree': 0.960843026638031, 'Shrub': 0.07907718420028687, 'Grass': 0.8972412347793579, 'Crop': 0.9140284061431885, 'Built-up': 0.6848084926605225, 'Barren': 0.7598955631256104, 'Water': 0.9404319524765015}",R2b-lora,42
