mse,mae,rmse,kl,sum_violation,per_class_mae,per_class_r2,condition,seed
0.007119753863662481,0.04086505249142647,0.08437863392863433,0.14206553995609283,4.220008875677195e-08,"{'Tree': 0.054602671414613724, 'Shrub': 0.011263524182140827, 'Grass': 0.10159260034561157, 'Crop': 0.06596598774194717, 'Built-up': 0.013012652285397053, 'Barren': 0.031717345118522644, 'Water': 0.007900742813944817}","{'Tree': 0.9265212416648865, 'Shrub': 0.05674237012863159, 'Grass': 0.8335862159729004, 'Crop': 0.8600932955741882, 'Built-up': 0.6471838355064392, 'Barren': 0.6718543767929077, 'Water': 0.9334867000579834}",R0a,42
0.007003200706094503,0.04030672088265419,0.08368512834485291,0.1389656662940979,4.490216554131621e-08,"{'Tree': 0.05401811748743057, 'Shrub': 0.011555396020412445, 'Grass': 0.10051226615905762, 'Crop': 0.06619679927825928, 'Built-up': 0.011805005371570587, 'Barren': 0.0311246570199728, 'Water': 0.006934798788279295}","{'Tree': 0.9285822510719299, 'Shrub': 0.057141005992889404, 'Grass': 0.8365695476531982, 'Crop': 0.8577788472175598, 'Built-up': 0.6750516891479492, 'Barren': 0.6842780113220215, 'Water': 0.9491802453994751}",R0a,1337
0.0070758420042693615,0.04074634239077568,0.08411802425324409,0.14075124263763428,4.339218051541138e-08,"{'Tree': 0.05505833029747009, 'Shrub': 0.010483646765351295, 'Grass': 0.1019488200545311, 'Crop': 0.06631077080965042, 'Built-up': 0.012476962991058826, 'Barren': 0.03184287250041962, 'Water': 0.00710300263017416}","{'Tree': 0.9264858961105347, 'Shrub': 0.043583035469055176, 'Grass': 0.8343420028686523, 'Crop': 0.8606133460998535, 'Built-up': 0.6248342990875244, 'Barren': 0.6783983707427979, 'Water': 0.9509409070014954}",R0a,2024
0.010895702987909317,0.05493761599063873,0.10438248410489816,0.22394034266471863,4.17232506322307e-08,"{'Tree': 0.07621664553880692, 'Shrub': 0.009737824089825153, 'Grass': 0.12655885517597198, 'Crop': 0.08459745347499847, 'Built-up': 0.016286857426166534, 'Barren': 0.04829413443803787, 'Water': 0.022871291264891624}","{'Tree': 0.8836901187896729, 'Shrub': -0.014305591583251953, 'Grass': 0.766897439956665, 'Crop': 0.8044631481170654, 'Built-up': 0.1555396318435669, 'Barren': 0.32892799377441406, 'Water': 0.8238765001296997}",R0b,42
0.011372885666787624,0.0567077100276947,0.10664373243087295,0.2326972931623459,4.10874676504136e-08,"{'Tree': 0.07767456769943237, 'Shrub': 0.01071073953062296, 'Grass': 0.12796597182750702, 'Crop': 0.0846790298819542, 'Built-up': 0.017015764489769936, 'Barren': 0.04928615316748619, 'Water': 0.029621779918670654}","{'Tree': 0.8801712393760681, 'Shrub': -0.0011686086654663086, 'Grass': 0.7620208263397217, 'Crop': 0.8038140535354614, 'Built-up': 0.1375957727432251, 'Barren': 0.2661842107772827, 'Water': 0.6932356357574463}",R0b,1337
0.010773006826639175,0.05458665266633034,0.10379309623784799,0.22087685763835907,4.3352443412914e-08,"{'Tree': 0.07464098930358887, 'Shrub': 0.010906372219324112, 'Grass': 0.1256091147661209, 'Crop': 0.084015391767025, 'Built-up': 0.01574505679309368, 'Barren': 0.04795146733522415, 'Water': 0.023238210007548332}","{'Tree': 0.8867006301879883, 'Shrub': -0.008200883865356445, 'Grass': 0.7692704200744629, 'Crop': 0.8062687516212463, 'Built-up': 0.14597535133361816, 'Barren': 0.33442825078964233, 'Water': 0.8239027261734009}",R0b,2024
0.007780005224049091,0.043456483632326126,0.08820433789813907,0.15514686703681946,4.371007378267677e-08,"{'Tree': 0.05758439749479294, 'Shrub': 0.011991733685135841, 'Grass': 0.10574352741241455, 'Crop': 0.06771846860647202, 'Built-up': 0.01691998355090618, 'Barren': 0.03470386564731598, 'Water': 0.009533393196761608}","{'Tree': 0.921200156211853, 'Shrub': 0.05002737045288086, 'Grass': 0.8235422372817993, 'Crop': 0.8526801466941833, 'Built-up': 0.4082687497138977, 'Barren': 0.6153830289840698, 'Water': 0.9006996154785156}",R1,42
0.0074665178544819355,0.04204902425408363,0.08640901489128282,0.1501026749610901,4.251797847132366e-08,"{'Tree': 0.0563715361058712, 'Shrub': 0.011195776984095573, 'Grass': 0.10312449187040329, 'Crop': 0.06593140959739685, 'Built-up': 0.015507467091083527, 'Barren': 0.03334612399339676, 'Water': 0.008866455405950546}","{'Tree': 0.9231334328651428, 'Shrub': 0.025364995002746582, 'Grass': 0.8291414976119995, 'Crop': 0.8557471036911011, 'Built-up': 0.5348597764968872, 'Barren': 0.6422442197799683, 'Water': 0.9156000018119812}",R1,1337
0.007550463546067476,0.04200546443462372,0.08689340335185103,0.14963731169700623,4.367033668017939e-08,"{'Tree': 0.05605200305581093, 'Shrub': 0.01066887192428112, 'Grass': 0.10372845828533173, 'Crop': 0.0657901018857956, 'Built-up': 0.015309994108974934, 'Barren': 0.03451608121395111, 'Water': 0.00797262042760849}","{'Tree': 0.9224888682365417, 'Shrub': 0.026356995105743408, 'Grass': 0.8246497511863708, 'Crop': 0.8555259704589844, 'Built-up': 0.5647372007369995, 'Barren': 0.6280322670936584, 'Water': 0.9289085268974304}",R1,2024
0.007409095298498869,0.04164797440171242,0.08607610178498366,0.14446580410003662,4.422664545700172e-08,"{'Tree': 0.05628872662782669, 'Shrub': 0.011884133331477642, 'Grass': 0.10326628386974335, 'Crop': 0.06655283272266388, 'Built-up': 0.012743831612169743, 'Barren': 0.03241005539894104, 'Water': 0.008389969356358051}","{'Tree': 0.9238170981407166, 'Shrub': 0.08464276790618896, 'Grass': 0.8270255327224731, 'Crop': 0.8532654047012329, 'Built-up': 0.6516561508178711, 'Barren': 0.66344153881073, 'Water': 0.9147233963012695}",R2a,42
0.00732100335881114,0.041629668325185776,0.0855628620302707,0.14662204682826996,4.3948492844947395e-08,"{'Tree': 0.05564199760556221, 'Shrub': 0.0112839937210083, 'Grass': 0.10285064578056335, 'Crop': 0.06740259379148483, 'Built-up': 0.013822266831994057, 'Barren': 0.03182033821940422, 'Water': 0.008585897274315357}","{'Tree': 0.9275491237640381, 'Shrub': 0.08206558227539062, 'Grass': 0.8293324708938599, 'Crop': 0.8522412776947021, 'Built-up': 0.6197047233581543, 'Barren': 0.6718716621398926, 'Water': 0.9158470034599304}",R2a,1337
0.007809843402355909,0.043271612375974655,0.08837331838488305,0.15665751695632935,4.263718977881581e-08,"{'Tree': 0.05693329498171806, 'Shrub': 0.011146451346576214, 'Grass': 0.10425879806280136, 'Crop': 0.06846044212579727, 'Built-up': 0.016594408079981804, 'Barren': 0.035190921276807785, 'Water': 0.010316941887140274}","{'Tree': 0.9217458367347717, 'Shrub': 0.04009300470352173, 'Grass': 0.8235027194023132, 'Crop': 0.8436378240585327, 'Built-up': 0.517671525478363, 'Barren': 0.6267983317375183, 'Water': 0.9043814539909363}",R2a,2024
0.007541826460510492,0.04264296963810921,0.08684368981400141,0.1507534235715866,4.287560884108643e-08,"{'Tree': 0.05702017620205879, 'Shrub': 0.011988450773060322, 'Grass': 0.1048097014427185, 'Crop': 0.06793251633644104, 'Built-up': 0.013637769035995007, 'Barren': 0.03505046293139458, 'Water': 0.008061796426773071}","{'Tree': 0.9209751486778259, 'Shrub': 0.04774355888366699, 'Grass': 0.823329508304596, 'Crop': 0.8555111289024353, 'Built-up': 0.646133303642273, 'Barren': 0.6289411187171936, 'Water': 0.9332922101020813}",R2b,42
0.007159913424402475,0.04137355089187622,0.0846162716290577,0.14473819732666016,4.2478244921539954e-08,"{'Tree': 0.05478253215551376, 'Shrub': 0.01188083179295063, 'Grass': 0.1030740886926651, 'Crop': 0.06728991866111755, 'Built-up': 0.012694713659584522, 'Barren': 0.031635623425245285, 'Water': 0.008257283829152584}","{'Tree': 0.9269735217094421, 'Shrub': 0.059756338596343994, 'Grass': 0.8299638628959656, 'Crop': 0.855648398399353, 'Built-up': 0.70512455701828, 'Barren': 0.6836935877799988, 'Water': 0.9464759826660156}",R2b,1337
